country,price
Norway,2.51
Finland,2.50
Denmark,2.42
Israel,2.37
Australia,2.22
New Zealand,2.16
Ireland,2.06
UK,1.97
Sweden,1.86
Italy,1.56
Canada,1.48
Netherlands,1.47
Switzerland,1.46
Austria,1.41
France,1.40
South Korea,1.39
Puerto Rico,1.29
Uruguay,1.28
Belgium,1.24
Germany,1.24
Luxembourg,1.24
Latvia,1.19
Costa Rica,1.17
Cyprus,1.16
Hong Kong,1.15
Chile,1.14
Czechia,1.14
Macao,1.12
Spain,1.11
Singapore,1.10
Portugal,1.09
Lithuania,1.08
Japan,1.05
Saudi Arabia,1.04
Greece,1.04
Argentina,0.99
Hungary,0.99
Kazakhstan,0.98
Slovakia,0.97
UA Emirates,0.95
South Africa,0.93
Poland,0.90
Bulgaria,0.89
Qatar,0.88
Romania,0.87
Slovenia,0.86
Guatemala,0.85
Oman,0.82
Panama,0.79
Uganda,0.79
Russia,0.79
USA,0.76
Colombia,0.75
Bolivia,0.72
Paraguay,0.72
Serbia,0.72
Peru,0.70
Zambia,0.67
Mexico,0.64
Belarus,0.63
Brazil,0.62
Morocco,0.61
Domin. Rep.,0.60
Ecuador,0.59
Angola,0.59
Thailand,0.58
Ghana,0.56
Bahrain,0.56
Malaysia,0.56
Jordan,0.55
Azerbaijan,0.51
Ukraine,0.49
Kenya,0.48
Ivory Coast,0.47
Turkey,0.47
Uzbekistan,0.44
Tanzania,0.43
Tunisia,0.40
Philippines,0.40
Indonesia,0.39
Nigeria,0.38
Vietnam,0.38
China,0.37
Sri Lanka,0.37
Burma,0.36
Kuwait,0.36
India,0.33
Bangladesh,0.32
Pakistan,0.28
Iran,0.21
Egypt,0.19
